DATE,Y
01JUN1983,100.04198225
01JUL1983,100.32435788
01AUG1983,100.16326925
01SEP1983,100.23861808
01OCT1983,100.1365551
01NOV1983,99.998869896
01DEC1983,100.1153446
01JAN1984,99.886465754
01FEB1984,99.890810326
01MAR1984,100.01366645
01APR1984,100.04862567
01MAY1984,99.867009422
01JUN1984,99.933012576
01JUL1984,100.08255614
01AUG1984,100.01629164
01SEP1984,99.994382701
01OCT1984,99.931245652
01NOV1984,99.947578243
01DEC1984,100.00011339
01JAN1985,99.933494379
01FEB1985,100.17702661
01MAR1985,100.19017256
01APR1985,100.13511256
01MAY1985,99.892220942
01JUN1985,99.813731278
01JUL1985,99.858024504
01AUG1985,99.771030071
01SEP1985,99.902239124
01OCT1985,99.865599546
01NOV1985,99.851131458
01DEC1985,99.789568146
01JAN1986,99.894413135
01FEB1986,99.84052605
01MAR1986,100.03491073
01APR1986,100.02808196
01MAY1986,99.95012651
01JUN1986,99.849209428
01JUL1986,99.95113502
01AUG1986,100.12293691
01SEP1986,100.08650577
01OCT1986,100.0129019
01NOV1986,100.26826141
01DEC1986,100.29143598
01JAN1987,100.15577714
01FEB1987,99.989574821
01MAR1987,99.970878817
01APR1987,99.930523417
01MAY1987,100.09623427
01JUN1987,100.12938169
01JUL1987,99.981497514
01AUG1987,100.06286936
01SEP1987,100.10738781
01OCT1987,100.02565379
01NOV1987,100.03258425
01DEC1987,99.995558614
01JAN1988,100.00505839
01FEB1988,99.995461291
01MAR1988,100.04951722
01APR1988,100.06896651
01MAY1988,100.10027718
01JUN1988,100.15015893
01JUL1988,99.944996391
01AUG1988,100.02150986
01SEP1988,99.783913485
01OCT1988,100.05612945
01NOV1988,100.01754759
01DEC1988,99.980602046
01JAN1989,99.937556088
01FEB1989,99.790632493
01MAR1989,99.848270634
01APR1989,99.878747477
01MAY1989,99.940710482
01JUN1989,100.02815588
01JUL1989,100.13438139
01AUG1989,100.11757372
01SEP1989,99.970107874
01OCT1989,99.995709685
01NOV1989,99.959984622
01DEC1989,100.01365653
01JAN1990,100.07126064
01FEB1990,100.00967875
01MAR1990,100.11822343
01APR1990,99.964907598
01MAY1990,99.874677297
01JUN1990,99.934821567
01JUL1990,100.12446544
01AUG1990,100.09323573
01SEP1990,100.02438106
01OCT1990,100.0187743
01NOV1990,100.10866486
01DEC1990,99.891627856
01JAN1991,100.01408256
01FEB1991,100.09023797
01MAR1991,99.860291151
01APR1991,99.87638415
01MAY1991,100.01103822
01JUN1991,100.13720925
01JUL1991,99.998564233
01AUG1991,100.00547296
01SEP1991,99.904072859
01OCT1991,99.817820539
01NOV1991,99.94038102
01DEC1991,100.02321617
01JAN1992,100.00633322
01FEB1992,100.06128687
01MAR1992,100.05191136
01APR1992,100.16675602
01MAY1992,100.20271565
01JUN1992,99.958304005
01JUL1992,100.02916226
01AUG1992,99.954392249
01SEP1992,99.926659261
01OCT1992,100.05575603
01NOV1992,99.973458613
01DEC1992,100.02306345
01JAN1993,99.869794627
01FEB1993,100.14456315
01MAR1993,99.985957605
01APR1993,99.89633297
01MAY1993,99.991941238
01JUN1993,99.908882791
01JUL1993,99.872213627
01AUG1993,99.852806778
01SEP1993,99.864352687
01OCT1993,99.965118248
01NOV1993,99.946547339
01DEC1993,99.972983881
01JAN1994,99.898568084
01FEB1994,99.885461094
01MAR1994,99.931276017
01APR1994,99.908935815
01MAY1994,99.857154111
01JUN1994,100.01100682
01JUL1994,100.15491772
01AUG1994,100.05613373
01SEP1994,100.00622508
01OCT1994,100.09083543
01NOV1994,100.25777669
01DEC1994,100.10759373
01JAN1995,99.986442498
01FEB1995,99.860422383
01MAR1995,99.936221869
01APR1995,99.986410001
01MAY1995,99.925536245
01JUN1995,99.882018449
01JUL1995,99.895929163
01AUG1995,100.11581382
01SEP1995,100.14594311
01OCT1995,99.924256984
01NOV1995,99.918273519
01DEC1995,99.955981178
01JAN1996,99.891862145
01FEB1996,99.962666399
01MAR1996,100.01255394
01APR1996,100.11978836
01MAY1996,100.06679726
01JUN1996,99.918519974
01JUL1996,99.927604724
01AUG1996,99.913534158
01SEP1996,99.999816181
01OCT1996,100.00127661
01NOV1996,100.00329818
01DEC1996,100.03571626
01JAN1997,100.2005297
01FEB1997,100.05831017
01MAR1997,100.07198902
01APR1997,100.11919395
01MAY1997,100.26558843
01JUN1997,100.11595973
01JUL1997,100.26247911
01AUG1997,100.18364514
01SEP1997,100.23583552
01OCT1997,100.17270621
01NOV1997,100.07292794
01DEC1997,100.13354491
01JAN1998,100.00180713
01FEB1998,99.808925028
01MAR1998,99.904038174
01APR1998,99.999276072
01MAY1998,99.847835305
01JUN1998,100.03528346
01JUL1998,100.0392928
01AUG1998,100.16612776
01SEP1998,100.04394944
01OCT1998,100.00709531
01NOV1998,100.03695512
01DEC1998,100.03722207
01JAN1999,99.996993379
01FEB1999,100.11196708
01MAR1999,100.12933347
01APR1999,100.1163993
01MAY1999,100.10666866
01JUN1999,100.03545988
01JUL1999,100.15715286
01AUG1999,100.12909509
01SEP1999,100.06732895
01OCT1999,100.00466687
01NOV1999,100.18049408
01DEC1999,100.18757042
01JAN2000,100.15093741
