make,model,model_year,model_age,drive,barrels08,city_mpg,hwy_mpg,combined_mpg,co2TailpipeGpm,cylinders,engine_displ,drive_type,fuelCost08,fuelType1
Acura,NSX,2000,18,Rear-Wheel Drive,18.311666667,15,22,18,493.72222222,6,3,Rear-Wheel Drive,2600,Premium Gasoline
Acura,NSX,2000,18,Rear-Wheel Drive,18.311666667,15,22,18,493.72222222,6,3.2,Rear-Wheel Drive,2600,Premium Gasoline
BMW,M Coupe,2000,18,Rear-Wheel Drive,17.347894737,17,23,19,467.73684211,6,3.2,Rear-Wheel Drive,2450,Premium Gasoline
BMW,Z3 Coupe,2000,18,Rear-Wheel Drive,17.347894737,17,24,19,467.73684211,6,2.8,Rear-Wheel Drive,2450,Premium Gasoline
BMW,Z3 Coupe,2000,18,Rear-Wheel Drive,17.347894737,17,24,19,467.73684211,6,2.8,Rear-Wheel Drive,2450,Premium Gasoline
BMW,Z3 Roadster,2000,18,Rear-Wheel Drive,17.347894737,17,24,19,467.73684211,6,2.5,Rear-Wheel Drive,2450,Premium Gasoline
BMW,Z3 Roadster,2000,18,Rear-Wheel Drive,16.4805,17,25,20,444.35,6,2.5,Rear-Wheel Drive,2350,Premium Gasoline
BMW,Z3 Roadster,2000,18,Rear-Wheel Drive,17.347894737,17,24,19,467.73684211,6,2.8,Rear-Wheel Drive,2450,Premium Gasoline
BMW,Z3 Roadster,2000,18,Rear-Wheel Drive,17.347894737,17,24,19,467.73684211,6,2.8,Rear-Wheel Drive,2450,Premium Gasoline
BMW,Z8,2000,18,Rear-Wheel Drive,21.974,12,19,15,592.46666667,8,4.9,Rear-Wheel Drive,3100,Premium Gasoline
Chevrolet,Corvette,2000,18,Rear-Wheel Drive,18.311666667,15,23,18,493.72222222,8,5.7,Rear-Wheel Drive,2600,Premium Gasoline
Chevrolet,Corvette,2000,18,Rear-Wheel Drive,17.347894737,16,25,19,467.73684211,8,5.7,Rear-Wheel Drive,2450,Premium Gasoline
Dodge,Viper Convertible,2000,18,Rear-Wheel Drive,23.543571429,11,19,14,634.78571429,10,8,Rear-Wheel Drive,3350,Premium Gasoline
Dodge,Viper Coupe,2000,18,Rear-Wheel Drive,23.543571429,11,19,14,634.78571429,10,8,Rear-Wheel Drive,3350,Premium Gasoline
Ferrari,360 Modena/Spider,2000,18,Rear-Wheel Drive,29.964545455,10,15,11,807.90909091,8,3.6,Rear-Wheel Drive,4250,Premium Gasoline
Ferrari,360 Modena/Spider,2000,18,Rear-Wheel Drive,29.964545455,10,15,11,807.90909091,8,3.6,Rear-Wheel Drive,4250,Premium Gasoline
Ferrari,550 Maranello,2000,18,Rear-Wheel Drive,36.623333333,8,12,9,987.44444444,12,5.5,Rear-Wheel Drive,5200,Premium Gasoline
Honda,Insight,2000,18,Front-Wheel Drive,6.2190566038,49,61,53,167.67924528,3,1,Front-Wheel Drive,750,Regular Gasoline
Honda,S2000,2000,18,Rear-Wheel Drive,16.4805,18,23,20,444.35,4,2,Rear-Wheel Drive,2350,Premium Gasoline
Lotus,Esprit V8,2000,18,Rear-Wheel Drive,20.600625,14,21,16,555.4375,8,3.5,Rear-Wheel Drive,2900,Premium Gasoline
Mazda,MX-5 Miata,2000,18,Rear-Wheel Drive,14.982272727,20,25,22,403.95454545,4,1.8,Rear-Wheel Drive,1750,Regular Gasoline
Mazda,MX-5 Miata,2000,18,Rear-Wheel Drive,13.73375,22,27,24,370.29166667,4,1.8,Rear-Wheel Drive,1600,Regular Gasoline
Mazda,MX-5 Miata,2000,18,Rear-Wheel Drive,14.330869565,21,26,23,386.39130435,4,1.8,Rear-Wheel Drive,1700,Regular Gasoline
Mercedes-B,SL500,2000,18,Rear-Wheel Drive,19.388823529,14,21,17,522.76470588,8,5,Rear-Wheel Drive,2750,Premium Gasoline
