License_Number,Date,Activity,City_Name,County_Name
412239,5/5/2014 0:00,Marijuana Premises Check,EVERETT,SNOHOMISH
412239,8/27/2014 0:00,Marijuana Applicant Site Verification,EVERETT,SNOHOMISH
414712,8/3/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,GRAYS HARBOR
414712,2/19/2015 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,GRAYS HARBOR
414712,4/20/2015 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,GRAYS HARBOR
414712,11/16/2015 0:00,Marijuana Applicant Site Verification,UNINCORPORATED AREAS,GRAYS HARBOR
420389,8/9/2017 0:00,Marijuana Premises Check,BURIEN,KING
420389,11/21/2015 0:00,Marijuana Premises Check,BURIEN,KING
420389,5/25/2016 0:00,Marijuana Premises Check,BURIEN,KING
420389,7/15/2016 0:00,Marijuana Premises Check,BURIEN,KING
420389,8/3/2016 0:00,Marijuana Compliance Check-no Sale,BURIEN,KING
420389,8/9/2016 0:00,Marijuana Premises Check,BURIEN,KING
420389,8/25/2016 0:00,Marijuana Premises Check,BURIEN,KING
420389,10/14/2016 0:00,Marijuana Premises Check,BURIEN,KING
420389,10/18/2016 0:00,Marijuana Premises Check,BURIEN,KING
420389,11/3/2016 0:00,Marijuana Premises Check,BURIEN,KING
420389,1/26/2017 0:00,Marijuana Premises Check,BURIEN,KING
412839,8/28/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,STEVENS
412839,2/17/2017 0:00,Marijuana Compliance Check-no Sale,UNINCORP. AREAS,STEVENS
412839,2/17/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,STEVENS
412839,2/23/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,STEVENS
421738,8/15/2017 0:00,Marijuana Compliance Check-no Sale,OMAK,OKANOGAN
421738,3/1/2017 0:00,Marijuana Premises Check,OMAK,OKANOGAN
416417,8/10/2017 0:00,Marijuana Premises Check,MOXEE,YAKIMA
414731,8/15/2017 0:00,Marijuana Compliance Check-no Sale,SEATTLE,KING
412977,8/19/2016 0:00,Marijuana Premises Check,UNINCORP. AREAS,SAN JUAN
417586,8/24/2017 0:00,Marijuana Premises Check,SPOKANE VALLEY,SPOKANE
412756,8/18/2017 0:00,Marijuana Premises Check,UNINCORP. AREAS,OKANOGAN
414884,8/14/2017 0:00,Marijuana Premises Check,SEATTLE,KING
415811,8/21/2017 0:00,Marijuana Premises Check,UNINCORPORATED AREAS,THURSTON
414042,8/15/2017 0:00,Marijuana Applicant Site Verification,ARLINGTON,SNOHOMISH
413319,8/19/2017 0:00,Marijuana Premises Check,SEATTLE,KING
412922,8/7/2017 0:00,Marijuana Premises Check,SEATTLE,KING
413374,8/4/2017 0:00,Marijuana Premises Check,TACOMA,PIERCE
413374,8/4/2017 0:00,Marijuana Premises Check,TACOMA,PIERCE
70636,8/8/2014 0:00,Marijuana Premises Check,,
422764,8/10/2017 0:00,Marijuana Premises Check,CLARKSTON,ASOTIN
415064,8/23/2017 0:00,Marijuana Premises Check,BLAINE,WHATCOM
