Word,Definition
abridge,abbreviated communication
compendium,abbreviated communication
cursory,abbreviated communication
curtail,abbreviated communication
syllabus,abbreviated communication
synopsis,abbreviated communication
terse,abbreviated communication
abrupt,act quickly
apace,act quickly
headlong,act quickly
impetuous,act quickly
precipitate,act quickly
abet,assist
advocate,assist
ancillary,assist
bolster,assist
corroborate,assist
countenance,assist
espouse,assist
mainstay,assist
munificent,assist
proponent,assist
stalwart,assist
sustenance,assist
bilious,bad mood
dudgeon,bad mood
irascible,bad mood
pettish,bad mood
petulant,bad mood
pique,bad mood
querulous,bad mood
umbrage,bad mood
waspish,bad mood
dilettante,beginner/amateur
fledgling,beginner/amateur
neophyte,beginner/amateur
novitiate,beginner/amateur
proselyte,beginner/amateur
tyro,beginner/amateur
burgeoning,beginner / young
callow,beginner / young
engender,beginner / young
inchoate,beginner / young
incipient,beginner / young
nascent,beginner / young
acerbic,biting (as in wit or temperament)
acidulous,biting (as in wit or temperament)
acrimonious,biting (as in wit or temperament)
asperity,biting (as in wit or temperament)
caustic,biting (as in wit or temperament)
mordacious,biting (as in wit or temperament)
mordant,biting (as in wit or temperament)
trenchant,biting (as in wit or temperament)
audacious,bold
courageous,bold
dauntless,bold
intrepid,bold
banal,boring
fatuous,boring
hackneyed,boring
insipid,boring
mundane,boring
pedestrian,boring
platitude,boring
prosaic,boring
quotidian,boring
trite,boring
bacchanalian,carousal
debauchery,carousal
depraved,carousal
dissipated,carousal
iniquity,carousal
libertine,carousal
libidinous,carousal
licentious,carousal
reprobate,carousal
ribald,carousal
salacious,carousal
sordid,carousal
turpitude,carousal
capricious,changing quickly
mercurial,changing quickly
volatile,changing quickly
counterpart,copy
emulate,copy
facsimile,copy
factitious,copy
paradigm,copy
precursor,copy
quintessence,copy
simulate,copy
vicarious,copy
aspersion,criticize/criticism
belittle,criticize/criticism
berate,criticize/criticism
calumny,criticize/criticism
castigate,criticize/criticism
decry,criticize/criticism
defame/defamation,criticize/criticism
denounce,criticize/criticism
deride/derisive,criticize/criticism
diatribe,criticize/criticism
disparage,criticize/criticism
excoriate,criticize/criticism
gainsay,criticize/criticism
harangue,criticize/criticism
impugn,criticize/criticism
inveigh,criticize/criticism
lambaste,criticize/criticism
objurgate,criticize/criticism
obloquy,criticize/criticism
opprobrium,criticize/criticism
pillory,criticize/criticism
rebuke,criticize/criticism
remonstrate,criticize/criticism
reprehend,criticize/criticism
reprove,criticize/criticism
revile,criticize/criticism
tirade,criticize/criticism
vituperate,criticize/criticism
bereave,death/mourning
cadaver,death/mourning
defunct,death/mourning
demise,death/mourning
dolorous,death/mourning
elegy,death/mourning
knell,death/mourning
lament,death/mourning
macabre,death/mourning
moribund,death/mourning
obsequies,death/mourning
sepulchral,death/mourning
wraith,death/mourning
abnegate,denying of self
abstain,denying of self
ascetic,denying of self
spartan,denying of self
stoic,denying of self
temperate,denying of self
authoritarian,dictatorial
despotic,dictatorial
dogmatic,dictatorial
hegemonic/,dictatorial
hegemony,dictatorial
imperious,dictatorial
peremptory,dictatorial
tyrannical,dictatorial
abstruse,difficult to understand
ambiguous,difficult to understand
arcane,difficult to understand
bemusing,difficult to understand
cryptic,difficult to understand
enigmatic,difficult to understand
esoteric,difficult to understand
inscrutable,difficult to understand
obscure,difficult to understand
opaque,difficult to understand
paradoxical,difficult to understand
perplexing,difficult to understand
recondite,difficult to understand
turbid,difficult to understand
defile,disgusting/offensive
fetid,disgusting/offensive
invidious,disgusting/offensive
noisome,disgusting/offensive
odious,disgusting/offensive
putrid,disgusting/offensive
rebarbative,disgusting/offensive
malodorous,disgusting/offensive
articulate,easy to understand
cogent,easy to understand
eloquent,easy to understand
evident,easy to understand
limpid,easy to understand
lucid,easy to understand
pellucid,easy to understand
aberrant,eccentric/dissimilar
anachronism,eccentric/dissimilar
anomalous,eccentric/dissimilar
discrete,eccentric/dissimilar
eclectic,eccentric/dissimilar
esoteric,eccentric/dissimilar
iconoclast,eccentric/dissimilar
abash,embarrass
chagrin,embarrass
compunction,embarrass
contrition,embarrass
diffidence,embarrass
expiate,embarrass
foible,embarrass
gaucherie,embarrass
rue,embarrass
equitable,equal
equity,equal
tantamount,equal
apocryphal,falsehood
canard,falsehood
chicanery,falsehood
dissemble,falsehood
duplicity,falsehood
equivocate,falsehood
erroneous,falsehood
ersatz,falsehood
fallacious,falsehood
feigned,falsehood
guile,falsehood
mendacious/,falsehood
mendacity,falsehood
perfidy,falsehood
prevaricate,falsehood
specious,falsehood
spurious,falsehood
conjugal,family
consanguine,family
distaff,family
endogamous,family
filial,family
