Date,_Total NC Natural Gas ,_Residential Natural Gas,_Commercial Natural Gas,_Industrial Natural Gas,_Electric Natural Gas,Cooling Degree Days,Heating Degree Days,Mean Maximum Temp,Mean MinimumTemp,Mean Temp,Trend,Month,Season
Jan-09,33360,14881,8960,7722,1798,0,443,9,-1,4,97,Jan,Winter
Feb-09,26215,10616,6565,7121,1912,0,317,13,1,7,98,Feb,Winter
Mar-09,24096,8259,5670,7493,2674,6,253,16,5,10,99,Mar,Spring
Apr-09,14130,3243,3161,6412,1314,23,96,23,9,16,100,Apr,Spring
May-09,11754,1315,2464,6215,1761,102,23,26,15,21,101,May,Spring
Jun-09,13141,754,1853,6053,4481,201,0,31,19,25,102,Jun,Summer
Jul-09,14301,962,1983,6052,5303,220,0,31,20,25,103,Jul,Summer
Aug-09,17248,947,2064,6300,7937,245,0,32,21,26,104,Aug,Summer
Sep-09,17018,1128,2450,6337,7103,104,6,27,16,22,105,Sep,Fall
Oct-09,14783,2760,3598,7166,1259,13,109,21,10,15,106,Oct,Fall
Nov-09,20251,6420,4375,7215,2241,0,202,17,6,12,107,Nov,Fall
Dec-09,32818,14358,8161,8166,2133,0,433,9,-1,4,108,Dec,Winter
Jan-10,39947,17239,9701,8409,4595,0,479,9,-3,3,109,Jan,Winter
Feb-10,35317,14708,8911,8600,3096,0,427,8,-2,3,110,Feb,Winter
Mar-10,23668,7595,5153,8362,2555,0,234,17,4,11,111,Mar,Spring
Apr-10,14667,1937,2691,6938,3098,31,66,25,10,17,112,Apr,Spring
May-10,16336,1252,2389,6905,5787,124,15,27,16,22,113,May,Spring
Jun-10,20764,942,1977,6890,10952,260,0,33,21,27,114,Jun,Summer
Jul-10,21588,883,1926,6773,12003,289,0,34,22,28,115,Jul,Summer
Aug-10,20403,904,2092,7105,10299,269,0,32,22,27,116,Aug,Summer
Sep-10,16263,1011,2433,7014,5803,181,1,31,18,24,117,Sep,Fall
Oct-10,17376,1873,3117,7762,4621,25,69,24,10,17,118,Oct,Fall
Nov-10,24848,7010,5190,8395,4250,0,236,17,4,10,119,Nov,Fall
Dec-10,44993,19166,10645,9166,6013,0,528,6,-4,1,120,Dec,Winter
Jan-11,41316,17009,9522,10100,4681,0,484,8,-3,3,121,Jan,Winter
Feb-11,28258,9734,6169,8880,3473,1,279,15,2,8,122,Feb,Winter
Mar-11,26456,7399,5460,9149,4445,5,241,17,5,11,123,Mar,Spring
Apr-11,17165,2890,2761,7820,3691,39,75,24,10,17,124,Apr,Spring
May-11,19834,1348,2568,7768,8148,100,24,27,15,21,125,May,Spring
Jun-11,21001,962,2133,7322,10582,233,0,33,20,26,126,Jun,Summer
Jul-11,24168,889,1980,7247,14049,297,0,34,22,28,127,Jul,Summer
Aug-11,22004,1066,2465,7646,10826,248,0,32,21,26,128,Aug,Summer
Sep-11,18096,1048,2382,7506,7157,131,10,27,17,22,129,Sep,Fall
Oct-11,21311,2812,3931,8383,6183,9,119,21,8,15,130,Oct,Fall
Nov-11,27931,6982,4446,8531,7969,5,204,18,5,12,131,Nov,Fall
Dec-11,32941,9506,6081,8758,8594,0,297,15,3,9,132,Dec,Winter
Jan-12,40964,13091,8072,9703,10096,0,354,13,1,7,133,Jan,Winter
Feb-12,38680,10105,6583,9092,12898,0,299,14,2,8,134,Feb,Winter
Mar-12,27015,4113,3545,8638,10717,24,105,22,9,16,135,Mar,Spring
Apr-12,24502,2349,3370,8003,10778,22,103,22,9,16,136,Apr,Spring
May-12,24744,1452,2205,8008,13077,119,8,28,16,22,137,May,Spring
Jun-12,24432,1135,2433,7571,13291,159,1,30,17,24,138,Jun,Summer
Jul-12,30979,901,1976,7495,20603,300,0,34,22,28,139,Jul,Summer
Aug-12,28599,1135,2673,7996,16794,212,0,30,20,25,140,Aug,Summer
Sep-12,25404,1015,2529,7827,14032,105,7,27,16,22,141,Sep,Fall
Oct-12,24849,2706,4003,9030,9107,20,105,21,10,16,142,Oct,Fall
Nov-12,32177,9189,5686,9415,7885,0,294,15,2,9,143,Nov,Fall
Dec-12,36164,9321,5878,9373,11589,0,287,14,4,9,144,Dec,Winter
Jan-13,45430,12218,6935,10322,15951,0,361,12,1,7,145,Jan,Winter
Feb-13,43338,12114,7155,9624,14442,0,361,11,0,5,146,Feb,Winter
Mar-13,45265,11612,7253,10428,15968,0,344,13,1,7,147,Mar,Spring
Apr-13,30601,3617,3390,9182,14409,22,101,22,10,16,148,Apr,Spring
May-13,29253,1823,3075,8594,15758,67,49,24,13,19,149,May,Spring
Jun-13,`,942,2381,8040,17311,178,0,29,19,24,150,Jun,Summer
Jul-13,31548,1119,2613,8200,19612,230,0,30,21,26,151,Jul,Summer
Aug-13,31664,1011,2611,8535,19504,185,1,29,19,24,152,Aug,Summer
Sep-13,30663,1145,2873,8307,18336,107,6,27,16,22,153,Sep,Fall
Oct-13,30368,2345,3869,9062,15088,29,84,22,11,17,154,Oct,Fall
Nov-13,41209,9514,6415,9626,15652,0,293,15,2,9,155,Nov,Fall
Dec-13,47607,12192,6700,9743,18969,5,334,14,2,8,156,Dec,Winter
Jan-14,58866,19452,11381,10165,17864,0,510,8,-4,2,157,Jan,Winter
Feb-14,38021,12235,7396,9690,8697,0,332,12,1,6,158,Feb,Winter
Mar-14,43901,11380,7426,10326,14767,0,327,15,1,8,159,Mar,Spring
Apr-14,30975,3347,3372,8882,15371,15,93,22,9,16,160,Apr,Spring
May-14,29591,1349,3314,8333,16592,99,18,27,14,21,161,May,Spring
Jun-14,32718,954,2930,7903,20928,202,0,31,19,25,162,Jun,Summer
Jul-14,32895,1144,2889,7925,20934,219,0,31,20,25,163,Jul,Summer
Aug-14,32577,997,2708,8245,20625,185,0,29,19,24,164,Aug,Summer
Sep-14,31839,1158,2884,8138,19655,120,8,26,18,22,165,Sep,Fall
Oct-14,27255,2083,3606,8946,12618,31,74,24,10,17,166,Oct,Fall
Nov-14,43197,9942,6843,9429,16980,1,307,14,2,8,167,Nov,Fall
Dec-14,51263,12821,7464,9781,21194,0,347,12,2,7,168,Dec,Winter
Jan-15,57794,15880,9500,10418,21992,0,438,10,-2,4,169,Jan,Winter
Feb-15,57835,17833,10511,9383,20106,0,459,8,-4,2,170,Feb,Winter
Mar-15,,,,9863,19194,2,223,18,5,11,171,Mar,Spring
Apr-15,34219,2884,3543,8550,19240,25,84,22,11,16,172,Apr,Spring
May-15,35912,1398,2502,8135,23874,116,11,28,15,22,173,May,Spring
