License Number,Visit Date,Penalty Type,Case #,WAC Code,Violation Type,City Name,County Name
412199,10/28/2016 0:00,Written Warning,7N6302A,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,UNINCORPORATED AREAS,SPOKANE
416619,1/25/2017 0:00,Written Warning,7I7025B,314.55.017,(MJ) Unauthorized sale to a retail licensee. (producer),UNINCORPORATED AREAS,ISLAND
421490,1/11/2017 0:00,Written Warning,1C7011A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems.,UNINCORPORATED AREAS,THURSTON
417379,9/10/2015 0:00,Written Warning,7O5253B,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability. (producer),UNINCORP. AREAS,BENTON
413570,5/4/2015 0:00,Written Warning,2A5124A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,SEATTLE,KING
416730,8/3/2016 0:00,Written Warning,7L6216A,314.55.035,(MJ) True party of interest violation.,MOXEE,YAKIMA
415998,1/28/2015 0:00,Written Warning,7E5028A,314.55.083(6),(MJ) Operating plan: Violations of a board-approved operating plan.,BATTLE GROUND,CLARK
415410,8/16/2016 0:00,Written Warning,1Q6229A,69.50.357,(MJ) Allowing a minor to frequent a restricted area.,BUCKLEY,PIERCE
412218,8/29/2014 0:00,Written Warning,7D4241A,314.55.097,(MJ) Failure for a producer to meet marijuana waste disposal requirements. (producer),PORT ANGELES,CLALLAM
416417,10/16/2016 0:00,Written Warning,7L6290B,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),MOXEE,YAKIMA
415726,8/31/2016 0:00,Written Warning,7M6244A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORP. AREAS,STEVENS
417335,10/23/2015 0:00,Written Warning,7P5296G,314.55.020,(MJ) Operating plan: Violations of a board-approved operating plan.,UNINCORPORATED AREAS,CHELAN
416763,2/1/2017 0:00,Written Warning,7M7032A,314.55.083(4),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,UNINCORPORATED AREAS,FERRY
422993,9/15/2016 0:00,Written Warning,7P6259A,314.55.083(3),(MJ) Failure to maintain required security alarm and surveillance systems. (producer),UNINCORPORATED AREAS,CHELAN
412969,7/31/2015 0:00,Written Warning,7O5212B,314.55.092,(MJ) Failure to submit monthly tax reports and/or payments.,UNINCORPORATED AREAS,DOUGLAS
417295,4/14/2017 0:00,Written Warning,7M7104A,314.55.155,(MJ) Advertising: Violations (statements/illustrations).,UNINCORPORATED AREAS,SPOKANE
412097,3/30/2016 0:00,Written Warning,7B6090A,314.55.083(6),(MJ) Failure to utilize and/or maintain traceability (processor or retail licensee).,LONGVIEW,COWLITZ
