date,units
01/2004,1566.4444444
02/2004,1608.0714286
03/2004,1725.0930233
04/2004,1653.5128205
05/2004,1424.547619
06/2004,1507.3095238
07/2004,1802.047619
08/2004,1978.1388889
09/2004,1776.4590164
10/2004,1579.7291667
11/2004,1404
12/2004,1539.2291667
01/2005,1688.6521739
02/2005,1655.8888889
03/2005,1455.5
04/2005,1744.18
05/2005,1784.0227273
06/2005,1757.3478261
07/2005,2119.2682927
08/2005,1880.1372549
09/2005,1932.075
10/2005,1912.46
11/2005,1473.2307692
12/2005,1567.0925926
01/2006,1922.0714286
02/2006,2168.2571429
03/2006,1826.6444444
04/2006,1906.02
05/2006,1725.86
06/2006,2048.4565217
07/2006,1962.45
08/2006,2087.8139535
09/2006,1974.974359
10/2006,2127.8888889
11/2006,2090.6976744
12/2006,1809.06
