vin,make,model,year,age,price,mileage,city,state,region,population,lat,lng
3GTU2WEC0FG228103,GMC,Sierra,2015,5,44290,35931,Ozark,AL,South,11678,31.4508,-85.6473
1FMCU9EG1CKC27388,Ford,Escape4WD,2012,8,13777,80766,Harrisburg,PA,Northeast,441580,40.2752,-76.8843
1FADP3L96EL202586,Ford,FocusHatchback,2014,6,15990,40261,Smyrna,GA,South,56685,33.8633,-84.5168
1C4RJEBG8EC558440,Jeep,Grand,2014,6,23597,53194,Sumter,SC,South,72131,33.9392,-80.393
1D7HA16D54J227741,Dodge,Ram,2004,16,7500,177879,Arlington,TX,South,396394,32.6998,-97.1251
2HGFB2F57DH300513,Honda,Civic,2013,7,11990,78076,Princeton,WV,South,5822,37.3688,-81.0961
1FADP3K29DL182109,Ford,FocusHatchback,2013,7,10786,44243,Waukesha,WI,Midwest,72489,43.0087,-88.2464
3GCUKREC4EG382653,Chevrolet,Silverado,2014,6,28588,47289,Olympia,WA,West,196078,47.0417,-122.8959
1HGCR2E58FA011237,Honda,Accord,2015,5,15997,40040,Freehold,NJ,Northeast,11894,40.2596,-74.2755
1FTEX1CM9EFC98185,Ford,F-1502WD,2014,6,21995,16916,Arlington,TX,South,396394,32.6998,-97.1251
1C4BJWDG8HL522370,Jeep,Wrangler,2017,3,31900,11352,Peoria,AZ,West,168181,33.7844,-112.299
WBA3C3G52FNT53260,BMW,3,2015,5,23591,33683,Cockeysville,MD,South,20789,39.4793,-76.63
2GKALTEK0E6134002,GMC,TerrainFWD,2014,6,19392,59904,Sedalia,MO,Midwest,26399,38.7042,-93.2351
2C4RDGCG9HR573963,Dodge,Grand,2017,3,22995,28428,McKinney,TX,South,235134,33.2016,-96.6669
2C4RC1CG0DR614815,Chrysler,Town,2013,7,16735,57655,Chantilly,VA,South,24802,38.8868,-77.4453
1FT7W2BT0FEB51996,Ford,Super,2015,5,49901,55028,Pauls Valley,OK,South,5817,34.7236,-97.2291
1HGCR2F86EA293644,Honda,Accord,2014,6,18500,29740,Frisco,TX,South,177286,33.1554,-96.8217
WBSVA93508E215285,BMW,3,2008,12,28995,43200,Chicago,IL,Midwest,8675982,41.8373,-87.6862
1N4AL3APXFC287045,Nissan,Altima2.5,2015,5,13950,35749,Manassas,VA,South,41501,38.7479,-77.4838
4S4BSBDC0G3211030,Subaru,Outback2.5i,2016,4,23994,20005,Oak Lawn,IL,Midwest,56087,41.7139,-87.7528
5XXGT4L33HG132473,Kia,OptimaLX,2017,3,17497,8651,Conyers,GA,South,16015,33.6645,-83.9967
2T2BK1BA2FC297846,Lexus,RX,2015,5,36887,15414,Oregon City,OR,West,36360,45.3414,-122.5927
2GKALUEK4F6159525,GMC,TerrainFWD,2015,5,25375,25142,Elmhurst,IL,Midwest,46662,41.8973,-87.9432
3GTP2VE31BG273553,GMC,Sierra,2011,9,23500,62829,Brookfield,WI,Midwest,38045,43.064,-88.1231
1GC1KWE82FF640491,Chevrolet,Silverado,2015,5,57991,37866,Manvel,TX,South,10115,29.4793,-95.3658
2HGFB2F65FH540378,Honda,Civic,2015,5,13797,44600,Phoenix,AZ,West,4081849,33.5722,-112.0891
1C4RJFAG4FC638066,Jeep,Grand,2015,5,33444,38352,Carson City,NV,West,57525,39.1511,-119.7474
1FADP3E29DL142897,Ford,FocusSedan,2013,7,6995,59943,Countryside,IL,Midwest,5964,41.7741,-87.8752
2GNALCEK9H6239323,Chevrolet,EquinoxFWD,2017,3,22500,18573,Safford,AZ,West,19302,32.8318,-109.7006
2FMTK3J90FBB11494,Ford,EdgeSEL,2015,5,24894,19515,Leesburg,GA,South,3765,31.7325,-84.1687
1N4AL3AP6FN897738,Nissan,Altima2.5,2015,5,11750,36923,San Diego,CA,West,3210314,32.8312,-117.1225
JTHBF30G330098403,Lexus,ES,2003,17,7499,73465,Stone Mountain,GA,South,6368,33.8034,-84.1724
1G1FB1RS2G0147910,Chevrolet,CamaroCoupe,2016,4,24899,25813,National City,CA,West,61363,32.6654,-117.0983
3GTEK13M99G125849,GMC,Sierra,2009,11,19975,107197,Lexington,KY,South,315939,38.0423,-84.4587
1GTEC14X58Z314809,GMC,Sierra,2008,12,13494,27549,Matteson,IL,Midwest,19418,41.5095,-87.7468
1HGCR2F53EA066384,Honda,Accord,2014,6,13495,94480,Duluth,GA,South,29463,34.0053,-84.1491
1FT7X3B67BEA15680,Ford,Super,2011,9,9990,189184,Grand Prairie,TX,South,193837,32.687,-97.0209
2C4RDGCG1GR344434,Dodge,Grand,2016,4,19497,35891,Macon,GA,South,152663,32.8065,-83.6974
WBA3C3G5XENS69055,BMW,3,2014,6,19990,19191,Freeport,NY,Northeast,43508,40.6515,-73.585
1N4AL3APXFC130678,Nissan,Altima2.5,2015,5,12594,31161,Coral Springs,FL,South,133037,26.2702,-80.2591
1VWAT7A31GC047315,Volkswagen,Passat4dr,2016,4,15935,30937,San Mateo,CA,West,104748,37.5522,-122.3122
WBAPH77569NL84252,BMW,3,2009,11,10990,80627,Dallas,TX,South,5733259,32.7936,-96.7662
5TFHW5F10CX240224,Toyota,Tundra,2012,8,25995,116015,Teterboro,NJ,Northeast,69,40.8579,-74.0594
WBA3C1C58EK115536,BMW,3,2014,6,29000,29819,Palm Springs,CA,West,48142,33.8017,-116.5382
19XFB2F56FE099734,Honda,Civic,2015,5,11888,28245,Derby,CT,Northeast,12581,41.3265,-73.0833
JTJBK1BA7F2467747,Lexus,RX,2015,5,35523,30190,White Plains,NY,Northeast,59047,41.022,-73.7549
3D7KS29D76G235266,Dodge,Ram,2006,14,19875,144083,Milwaukie,OR,West,20801,45.4447,-122.6221
1G1ZE5ST2HF152666,Chevrolet,MalibuLT,2017,3,18533,17231,Waldorf,MD,South,73223,38.6085,-76.9195
1FTEW1CP6FKD35991,Ford,F-1502WD,2015,5,28871,43036,Albuquerque,NM,West,758523,35.1053,-106.6464
1FADP3K26GL310875,Ford,FocusHatchback,2016,4,12888,19964,Dothan,AL,South,71620,31.2335,-85.4068
WBA5B1C5XED481577,BMW,5,2014,6,30995,24985,Marietta,GA,South,61048,33.9532,-84.5422
4T1BF1FK8GU161300,Toyota,CamrySE,2016,4,15803,41703,Warner Robins,GA,South,149617,32.5975,-83.6526
2C4RDGBG9GR191903,Dodge,Grand,2016,4,18988,22621,Friendswood,TX,South,39839,29.5112,-95.1979
1HGCM72603A017554,Honda,Accord,2003,17,7995,77169,Honolulu,HI,West,833671,21.3294,-157.846
1GTV2VEC4FZ175484,GMC,Sierra,2015,5,33644,29228,Strongsville,OH,Midwest,44744,41.3128,-81.8313
1N4AL3APXFC143298,Nissan,Altima2.5,2015,5,13981,42375,Moreno Valley,CA,West,207226,33.9244,-117.2045
WMWZF3C52DT490019,MINI,Cooper,2013,7,12999,47738,Hickory,NC,South,215353,35.7426,-81.323
1FTEW1EF3FFA29506,Ford,F-1504WD,2015,5,40879,35782,Blair,NE,Midwest,7943,41.5417,-96.1361
3GTRCVE35AG112336,GMC,Sierra,2010,10,23194,63239,Tracy,CA,West,95982,37.726,-121.444
1FTEX1E66AFD02668,Ford,F-1504WD,2010,10,34500,59631,Louisville,KY,South,1011696,38.1663,-85.6485
2FTRX18L02CA87630,Ford,F-1504WD,2002,18,6995,94249,Bel Air,MD,South,10037,39.5348,-76.346
19XFB2F59EE263332,Honda,Civic,2014,6,14991,23056,Napa,CA,West,87032,38.2976,-122.3011
3FA6P0HD8GR360517,Ford,FusionSE,2016,4,16943,16222,Cape Girardeau,MO,Midwest,54588,37.3108,-89.5596
